dialect,sarcasm,sentiment,original_sentiment,tweet,source
msa,False,neutral,neutral,"""RT @kokokolove45: شــــــاهد الشووط 1 يوتيـــوب من مباراة #الارحنتين_باراجواي يوتيوبhttps://t.co/Gz8AYcscerجوالhttps://t.co/Gz8AYcscer…""",semeval
msa,False,positive,positive,"""#غوتشي ""فلورا"" النسائيمع نغمات عطرية أكثر عمقاً وجاذبيةاحصلي عليه من #نقطة_الأناقة الآن في #أملج https://t.co/bM0GjfImCN""",semeval
msa,False,neutral,negative,"""#اليمنية| 18 شهيدا و27 مصابا في #خروقات_الإنقلابيين بتعز خلال 24 ساعةhttps://t.co/DMa8xnikF3#التحالف_العربي_سند_اليمن""",semeval
msa,False,neutral,negative,"""أعادت أمازون تهيئة كلمات المرور للعديد من مستخدميها بعد تسرب قائمة على الإنترنت تضم بريدا إلكترونيا وكلمات مرور، و https://t.co/rk9hhGU8mL""",semeval
msa,False,negative,negative,"""عشرات الجرحى في احتجاجات على مشروع لأنبوب نفط في الولايات المتحدة https://t.co/Um1sVbYzS1 #سبوتنيك #فلسطين #القدس""",semeval
msa,False,neutral,neutral,اطاح الاستفتاء بمبدأ تكافؤ الفرص حينما لم يسمح بالتصويت لكل المقيمين بالخارج الا من قام بالتسجيل في الانتخابات,astd
egypt,False,neutral,neutral,"""@abo3maira @loaiomranمش عارفصورة وجدتها علي فيسبوك""",semeval
msa,False,neutral,neutral,"""#الجيش_السوري يسيطر على طرق امداد المسلحين القادمة من جهة حزرما باتجاه بلدة الميدعاني بالغوطة الشرقية في ريف #دمشق.""",semeval
msa,False,neutral,negative,"""88%"" من قضايا الابتزاز في السعودية سببها مقاطع وصور البنات #الجوف #دومة #القريات #سكاكا #سكاكا_ال…",astd
msa,True,positive,negative,"""تصور يا حفتر عملية مثل بنيان مرصوص أعتمادهم علي الله !!لا أبناء زايد و لا بوتن و لا فرنسا و لا داعش !!فهل يقوي أحد أن يغلب الله ☝""",semeval
msa,False,positive,positive,"""زينة الميلاد بجبيل الحلوة ❤️#jbeil #livelovelebanon #christmas #byblos #livelovebyblos #lebanon… https://t.co/eA9RnTcRBS""",semeval
msa,False,neutral,neutral,"""تعرف على تاريخ استخدام #روسيا و #الصين لحق نقض #الفيتوتقرير: زاهر علي#اتحاد_الشبكات_الاسلامية https://t.co/4PMGyuVMI8""",semeval
egypt,False,negative,negative,كذبة حقيرة الاهرام العربي:مرسي طبع 65 مليار جنيه والبنك المركزى يأسف ويستنكر ويرفض التعقيب,astd
egypt,True,negative,neutral,"""RT @amer_alkubaisi: حيدر العبادي حذف منشور انتقاد أردوغان من الفيس بوك ، وربما بعد قليل يحذفه من تويتر، لنتابع اللعبة.""",semeval
msa,False,positive,positive,"""٢١ نوفمبر المجد التّليد لرقي فن فيروز ❤️🎼#فيروز https://t.co/v2JvjGAiNx""",semeval
msa,False,neutral,neutral,#مرسى_رئيسى #مرسي_رئيسي #انتخبوا_البرص #انتخبوا_العرص آمال,astd
msa,False,neutral,neutral,"""RT @3FLnQe: #نتيجه_الاخضر_مع_الامارات آخر فوز للامارات على السعودية كان ميسي يملك 0 اهداف على ريال مدريدوالان الهداف التاريخي لليغا و ل…""",semeval
msa,False,negative,negative,"""@riyadhalasaad عندما نشاهد مايجري في سوريا من قتل للإطفال والنساء من قوات الأسد وطيران المجرم بوتن تقطر قلوبنا دمانحن نشارككم الألم والعذاب""",semeval
msa,False,neutral,positive,"""Listen to أشتقتلك - رامى عياش #SoundCloudhttps://t.co/oqCGhGGQXS""",semeval
magreb,False,positive,positive,"""ما تغيب كثير عنا ؛ غيبتك عم تقتلنا حبيب القلب توحشتك بزاف  #رامي_عياش  #أمير_الليل @RamyAyach""",semeval
levant,False,negative,negative,"""كل مرة جورج ياسمين بقدم الاخبار بحط ايدي ع قلبي ليقطع قطوع الرئيس ميشال .....عون 😟😳""",semeval
egypt,False,negative,negative,عقول زباله تسئ لرجل كبر اجدادهم فعلا العرب تربيتهم صفر #بالعربي,astd
msa,False,positive,positive,من أعذب مفردات #الحياة وأجملها هو #اعطاء العذر لغياب البعض ! [[ لان سيد #البشر تحدث عن #التماس العذر ]] ، صلوات الله ع…,astd
gulf,False,negative,negative,"""@mohmad3033 والله مهو كلهم يبو سلطان..الاعلام الغربي يبي يصور لنا ان الشيعة خطر ويبي يصور للشيعة أنفسهم ان السنة خطر عليهم""",semeval
msa,False,neutral,neutral,"""RT @alhayat_syria: المعارضة تسترجع مواقع في حلب... وروسيا تُثبت «قاعدة عسكرية دائمة» في طرطوسhttps://t.co/R2LYVG5qyf https://t.co/7X5V6OVY…""",semeval
msa,False,neutral,neutral,"""#أردوغان:حان الوقت لفتح صفحةجديدةفي العلاقات بين #إسرائيل و #تركيا https://t.co/o3mPATmiGi #فلسطين #غزة #حماس #السعودية #مصر #العراق #لبنان""",semeval
msa,False,neutral,negative,سبحان المعز المذل قصة علي العريض من السجن إلي وزير داخلية تونس,astd
msa,False,neutral,neutral,"""أخبار رياضية : هذا ما قاله رونالدو عن مشاركة ريال مدريد في كأس العالم للأندية https://t.co/wFsQAJktAR""",semeval
msa,False,neutral,positive,"""@Sllokei اسطورة التنس روجر فيدرر وصاحب 88 لقب منها 17 جراند سلام #اسطورة ❤️""",semeval
msa,False,neutral,neutral,"""ميزة في هاتف «جوجل» تكشف ابتزاز «أبل» https://t.co/ZtFyfDk79x https://t.co/6ygRaXjIvq""",semeval
msa,False,negative,neutral,إلى حد البكاءِ على يديكِ، أحاول أن أغني، و أعرف أنني وطنٌ و منفى، و أني لست مني، و لكني، أحاولُ أن أغني، حين أبكي,astd
msa,False,neutral,negative,"""#مقتل سبعة أشخاص إثر #حريق غابات اندلع في منطقة جبلية سياحية جنوبي #الولايات_المتحدة #أ_ف_ب https://t.co/mMqXoe47Mn""",semeval
msa,False,neutral,positive,اعرف بلادك - المغرب عين أسردون - توجد في بني ملال وهي مدينة مغربية تقع في الوسط الغربي للمملكة المغربية وسهل,astd
egypt,True,negative,neutral,"""تايملاين يليق بيه فيلم ""الأرهاب والكباب"" بدخلة يسرا المفاجأة 😌😃""",semeval
msa,False,negative,neutral,"""مع كامل محبتي الشخصيّة للرؤساء عون وبريّ والحريري، لا تفهموني خطأ؟؟؟ عندما يقبل الرئيس ميشال عون بأن ينتخب من قبل... https://t.co/U0ffFBkR7u""",semeval
gulf,False,neutral,positive,"""ممتنة للثريد وكايسو انهم يفتحون نفسك 💛وايوه بوكيمون تمام، كيف حبيبة البوكيمون طيب؟ يومي مذهلرائع شكراً لك،  احصلي… https://t.co/ARa0PNnYJ6""",semeval
egypt,False,negative,negative,في ناس غاويا كدب وكمان بتخاف فيديو متفبرك تماما مندوبتنا في ليسيه الحرية مادخلتش اللجنة أصلا بس حركات مفضوحة,astd
msa,False,neutral,positive,"""RT @Elaph: طيران الإمارات وغوغل يطلقان مبادرة تثقيفية   #طيران_الإمارات #غوغل  https://t.co/zfBZqiEPkW https://t.co/dR1aX9RtI5""",semeval
msa,False,neutral,negative,"""سبع دول من تدعم داعش امريكا بريطانيا فرنسا إسرائيل تركيا السعوديه قطر""",semeval
levant,True,negative,neutral,"""#النّازحين_السّوريّين بيعتبرو اللي صار ب #حلب تحرير ومبسوطين وعم بِهللو#بس_هيك😊""",semeval
msa,False,neutral,neutral,"""تركيا تنفي عقد صفقة مع روسيا بشأن حلب https://t.co/XX4MMEgtW5""",semeval
msa,False,positive,positive,"""RT @aawsat_News: #نجاح_الحج1437ه | النجاحات #السعودية المتوالية في تنظيم #الحج تلجم أفواه المشككينhttps://t.co/Ovq7tMPWda https://t.co/dy…""",semeval
msa,False,negative,negative,"""RT @AbuAltahish6: @hrw_ar @aboaqil2010 امريكا هي راعية الارهاب .وتحالفها الدولي لضرب داعش انما هو لدعم داعش وكبيرتها السعودية العالم يعرف…""",semeval
egypt,True,negative,negative,#يلا_نحفل_علي_احمد_ادم الرد هشتاج بردوا #باسم_طلع_حرامى,astd
gulf,False,neutral,neutral,"""@Ahmed_ALHasani ويندوز 10 ممتاز بس جلب مشاكل واجد في لاب توب منها الاضاة الي حلتها ومنها انه الجهاز يعلق على فترات اذا تركته من دون استخدام""",semeval
msa,False,negative,negative,"""@DimaSadek الفرق بين الصورتين هي صورة لاهالي الجنوب في حرب تموزوالصوره الثانية لنزوح أهالي حلب الفرق النازحين السور… https://t.co/NC2lPOKHke""",semeval
egypt,False,negative,neutral,"""وقالو سعيدة في حياتها 😣 #إليسا""",semeval
msa,False,positive,neutral,"إذاغيب الموت ""نعناع الجناين""فإن حكاء مصرالأصيل سيظل حاضرافى الوجدان المصرى بأعماله التى جسدت أحلام المهمشين،رحم الله""صياد اللولى""خيرى شلبى",astd
msa,False,neutral,neutral,#علوم_وتكنولوجياغوغل لا تعيّن أحدًا فوق الـ40 عامًا للعمل لديهاأقامت مجموعة من الباحثين عن عمل، وتفوق أعمارهم... https://t.co/jQoCRYsLaK,semeval
msa,False,neutral,positive,"""RT @mstr_federer: @fed89erer عالم الكرة الصفراء كان يتيماً حتى جاء فيدرر و اخرج جمال هذه الرياضة للعالم""",semeval
egypt,True,negative,negative,ف #مصر #شخصية_مريبة متعرفش #بيشتغل لحساب مين بالظبط اسمو #نجيب_ساويرس بيعمل #قناة #لجاسوس اسمه #يسرى_فودة ليستضيف #عميل_برخصة اسمه #جمال_عيد,astd
msa,False,negative,negative,"""#ميشيل_تويني: كيف تم إخفاء معالم من موقع التفجير عند إغتيال #جبران_تويني ومن المسؤول ولماذا لم يُحرّك الملف كل هذا الوقت؟@MichelleTueini""",semeval
msa,False,neutral,negative,"""#لافروف: إلغاء اجتماع #جنيف حول #حلب بسبب عدم مشاركة #واشنطن https://t.co/ozXKurx5dr""",semeval
gulf,True,negative,negative,"""@LaaHooB_Q8 @alhurranews خلاص طاح الحطبو بوكيمون يبدى قلقه""",semeval
msa,False,positive,positive,لمصر شعب يحميها رب أجعل هذا البلد آمنا مطمئنا,astd
levant,False,negative,negative,"""إثر هجومهما ""الهمجي"" على #حلب.. البيت الأبيض يحذر الأسد و #روسيا#سوريا #واشنطن #روسيا_تحرق_حلب #تدمير_المشافي""",semeval
msa,False,neutral,negative,"""علي الأمين يكتب: موسكو أسقطت هدنة حلب: تريد سوريا كلها لا ‘المفيدة’ فقط https://t.co/mNFUsKJjVJ""",semeval
msa,False,negative,negative,"""#عرب48 | تطويق الأخبار الكاذبة على #فيسبوك: تهدد الديمقراطية https://t.co/jxeLkHwWy0""",semeval
msa,True,negative,negative,"""بعد الإنتخابات الأمريكية الأخيرة أثبت الإعلام الغربي أنه إعلام موجّه وغير صادق وأثبت الإعلام العربي أنه ببغائي بامت… https://t.co/jBCZQ61Dkx""",semeval
msa,False,negative,negative,فى مصر الانقلاب تعلو اصوات العهر والدعارة وتخفض اصوات الحق والعدل والشرفاء تحكمهم بيادة تلاحقهم رصاصة تأويهم سجون,astd
msa,False,neutral,neutral,"""موقع كلمتي: دفاع شفيق : لم تعد هناك عقبات تمنعه من العودة لمصر #احمد_شفيق https://t.co/gfCaCi0RwW""",semeval
msa,False,neutral,neutral,"""#الجيش_السوري يدمر 3 جرافات ويقتل من فيها جنوب مقبرة حوش نصري في #الغوطة_الشرقية""",semeval
levant,False,negative,negative,"""النازحين السوريين منحاشين من قتل بشار وحزب الله وايران  لهمراحوا حق لبنان اللي تحكمها ايران وحزب اللهدخلك راح يعالجونهم بفلوس الكويت ؟!!""",semeval
msa,False,neutral,positive,"""#فريق_الاصائل_التطوعي-ينظم حفل #المولد_النبوي_الشريف https://t.co/RgyigWzAHq""",semeval
egypt,False,negative,negative,"""ياويلللي اعوذ بالله #ماذا_لو_المدارس_مختلطه""",semeval
egypt,True,neutral,neutral,#مصر • كاريكاتير _ #انتخبوا_العرص,astd
msa,False,negative,negative,بلغ التدني بالبعض حد وضع صورتي واسمي على حسابات تويتر مزيفة وإستخدامها للتطاول على حبيبتي وزوجتي وللخوض في عرضي، وتداولها عبر مواقع غير جادة,astd
egypt,False,positive,positive,#رمضان_الخير قرب,astd
msa,False,neutral,positive,"""كارلو أنشلوتي  قبل قليل : ريال مدريد هو نادي الكُرة الأرضية ! ...#تصريح_قوي 👌#حقيقة#Moh7""",semeval
msa,False,negative,negative,"""RT @alsrkhyalhasany: #الصرخي_يكشف_زيف_المدلسينانحرف السنة والشيعة بسبب داعش والسيستانيمقتبس من بحث (السيستاني ما قبل المهد الى ما بعد الل…""",semeval
msa,False,neutral,negative,د عبد المنعم أبو الفتوح على قناة الحرة: أنا ضد مظاهرات ماسبيرو و ضد المظاهرات أمام الكنائس,astd
msa,False,positive,positive,عامل كهربائي يستغل وقت فراغه في عشر ذي الحجة في قراءة القرآن كتب الله أجره وغفر ذنبه #عشر_ذي_الحجة,astd
msa,False,neutral,neutral,"""دفاع #أحمد_شفيق: لا توجد عقبات أمام عودة المرشح الرئاسي الأسبق إلى #مصر https://t.co/DBucYMYr1q""",semeval
egypt,True,negative,negative,"""#مركز_تدريب_قياده_للنساء_فقط هههههه دنتم مسخره ياراقل هونو على انفسكم يامجن فرنسا""",semeval
msa,False,positive,positive,"""عندما يرفع #راهب_مقدسي #الاذان من #كنيسة في #القدس، فهذا ما يفسر أحد أسرار شعب الجبارين في #فلسطين المحتلة.https://t.co/z45LAkRgIT""",semeval
msa,False,negative,negative,"""#الاعلام_رسالهكاذبه الكل ينشر فيها ما يريد و اذا كانت حجته ضعيفه اضاف كم صورة لمراة او لطفل اما جرحى او موتي لكي يكسب تعاطف المجتمع الدولي!""",semeval
msa,False,neutral,neutral,RT @DrOmaralmohamma: في معرض فرص العمل فن من فنون جذب العمالة .. كما لو كنت مع شركة غوغل في سابق عهدها #د_عمر_المحمد  #تدريب #استشارات #ت…,semeval
egypt,True,negative,negative,"""جوجل بلاي مقموص :3""",semeval
egypt,False,negative,negative,"""@abo_raged حملت البرنامج وجربتو في اسطنبولبس موجود خيار واحد من والى المطار#اوبر موشغال هنا""",semeval
msa,False,neutral,neutral,"""@nawalatteya @Noor_al3omor من شخصيات بوكيمون زتّتْ (مو جو)""",semeval
msa,False,positive,positive,"""#فيدرر:"" حماسي وحبي للعبة يقوى أكثر وأكثر وأتطلع للمشاركة في بطولة استراليا المفتوحة"" https://t.co/bbjFC2aeQO""",semeval
egypt,False,neutral,neutral,"""@_hiima انا عارف فولدمرت بتاع هاري بوتر بس مش فاهم والله :D""",semeval
egypt,False,negative,negative,"""البلد اللي اليسار فيها ممكن يتحالف مع اليمين المتطرف عمرها ما تتقدم #فكره_لمصر_تتقدم_بيها""",semeval
msa,False,neutral,negative,"""#الآناضول عبر #محيط_اليمن | ""الحوثيون"" يكثفون هجماتهم الصاروخية صوب الجيش اليمني والحدود مع السعودية https://t.co/gEGNZFWgM8""",semeval
msa,False,neutral,positive,"""https://t.co/C6ClP8eGPb #القدس  افتتاح مشروع اعادة تأهيل شبكة المياه في #العيزرية https://t.co/nxEOLxzYQ4""",semeval
msa,True,negative,negative,"""من المخجل ان يكون بوتن هو الذي ينذركم مما وعد الله ،، يا مسلمين !!https://t.co/lqPN3e1Xr1""",semeval
msa,False,negative,neutral,"""#حلب : #الجيش_السوري يحكم سيطرته على كامل الأقسام الشرقية لـ #حي_كرم_القاطرجي ، و #حي_باب_النيرب و #حي_الحلوانية.""",semeval
msa,False,neutral,negative,لأن مجلس الشعب منتخب على عوار وتشكيل التأسيسية أيضاً بسيطة وواضحة,astd
msa,False,neutral,neutral,"""برشلونة مهتم بالتعاقد مع موهبة تشيلسي الدفاعية: لا مستقبل مضمون له في ستامفورد بريدج https://t.co/PvtXoMOuP8""",semeval
gulf,False,positive,neutral,"""تجنن ويد  https://t.co/ZQqei5eMdy""",semeval
msa,False,positive,positive,قرار رئيس الجمهورية بعودة البرلمان للانعقاد صحيح و التنفيذ الصحيح لحكم المحكمة الدستورية يكون في الإنتخابات القادمة,astd
egypt,True,negative,negative,"""RT @M__albugaily: قردوغان حليف اسرائيل يدعم تنظيم داعش في سوريا ومع ذلك لم يغضب عليه أحد ويهدده كما يفعل مع مصر التي تواجه الإرهاب بشكل عام…""",semeval
egypt,False,negative,negative,"""@AbuAbufadel هيلاري كلنتون تصلي من اجل وسخ الدنيا والرئاسة الملعونه تنافق لليهود من اجل كرسي الرءاسه لان الصهيونيه العالميه تقرر من الرءيس""",semeval
msa,False,negative,neutral,"""حمد لله تخرجت #ماذا_لو_المدارس_مختلطه""",semeval
egypt,False,positive,positive,اللهم بلغنا رمضاااااااااان #نفسي يرجع بقا,astd
msa,False,negative,neutral,"""تشافي: أفتقد اللعب مع برشلونة.. وبيكيه مستاء ومحبط هذا المحتوى من : كتب: أيمن جيلبرتو https://t.co/oUnIxRfaod https://t.co/4fBThzQgxQ""",semeval
msa,False,neutral,neutral,الروايات متضاربة ومتناقضة حول احداث طريق النصر الحل تحقيق عادل مستقل شفاف لاستجلاء الحقيقة ولا يجب ان يفلت من أجرم من العقاب مهما كان موقعه,astd
egypt,False,negative,negative,هل هذه هي الديمقراطية؟ هل وزعت أيضا أموال على طلاب جامعة النيل والقيادات النقابية لزعزعة الاستقرار؟ هل بالأمن والقمع سنتعامل مع الاحتجاجات؟,astd
msa,False,neutral,negative,"""مش هيحصل .الطرف الفرنسي ينفي الرواية المصريةhttps://t.co/JviJOF1F5F https://t.co/crJmj3jigp""",semeval
msa,False,negative,negative,حق شهدائنا يضيع بشكل منظم نظامنا القضائي عاجز عن القصاص والجهات التشريعية والتنفيذية لم تدعمه، ومحاسبة كل من قصر في جمع الأدلة ضرورة,astd
msa,False,neutral,positive,"""كانت جامعة ليفربول تمسى بكلية #ليفربول الجامعية ١٨٨٢-١٨٨٤و بجامعة فيكتوريا في #ليفربول ١٨٨٤-١٩٠٣#جامعات_بريطانيا… https://t.co/dcx5gOrYtp""",semeval
msa,False,neutral,neutral,"""زعيم المعارضة الروسية يدعو لرحيل بوتن https://t.co/UR1m0fBUlB عبر @skynewsarabia""",semeval
egypt,False,negative,negative,إنت فاكر إن متابعتك لأفلامي أهم من بلدي؟ في ستين ألف داهية وإوعى ترجع في كلامك قبل ما تعتذر على جهلك,astd
egypt,True,negative,negative,يعني ناس قعدت تنكر تعرية ست البنات وبعدين قعدت تبرره مستني منهم فجأة ينتفضوا لكرامة الإنسانللأسف كلنا هندفع تمن غياب العدل في هذا البلد,astd
msa,False,negative,negative,"""روبرت دي نيرو مهاجما دونالد ترامب: كلب وخنزير وغبي https://t.co/JAicUONtyh""",semeval
msa,False,negative,negative,"""#خطر_في_القدس... يزداد الخطر بزيادة الغفلة واللامبالاة في قضايا #القدس وآخرها صوت مآذنها الذي يقاوم #الاحتلال""",semeval
msa,False,neutral,negative,"""#الاحتلال يستولي على معدات وبضائع فلسطينية قرب #بيت_لحمhttps://t.co/4Sxms1GC1U https://t.co/dBsHME7RE7""",semeval
egypt,False,neutral,neutral,"""@ashraaf_alsaad من اول ما جه سلمان وهو مبقاش ماشي بيعتقد الاعتقاد دة ان السعودية بتدعم مصر في القضاء على الاٍرهاب""",semeval
levant,True,negative,negative,"""@RTarabic احلى مافي تركيا إنها استقبلت السوريين النازحين وأستقبلت الدواعش للتدريبهم ودخولهم للسوريا والعراق مأجور يا عمو رجب بن طيب""",semeval
msa,False,negative,negative,RT @14__moony: سـاعـة الإشتيـاق ليس لهـا عقـارب .. ومع ذلك تلدغـك في كـل ثانيـة تعيشهـا#قروب_خواطر_للدعم#قروب_فيدرر_للدعم,semeval
msa,False,negative,neutral,"""RT @dr_naseer: الطائفية هي أن تبكي على أطفال حلب في الصباح وتضحك على قتل أطفال صنعاء في المساء. الموضوعية هي أن تتبرأ من قتل الأبرياء في كل…""",semeval
msa,True,negative,negative,"""البقرة ""د""  وأجندة اليمين الإلحادي المتصهين الإرهابي  اليمين المتطرف الإلحادي المتصهين ، هي حركة إرهابية ، في... https://t.co/ewgUztqRcJ""",semeval
egypt,False,neutral,neutral,انا #الأسد انا شجرة كبير مادة جدورها فـ الأرض شايلة ناس كتير اوي ~ بس انا اللي هشيل نفسي، انا هوصل للي فـ دماغي,astd
gulf,False,negative,negative,"""صعود #اليمين_المتطرف: مخاطر هائلة على العالم https://t.co/gI6thAwMfG https://t.co/nAcDDGRWSN""",semeval
msa,False,negative,negative,حرية التعبير لا تتضمن التحريض على العنف و الفتنة الطائفية بل هو خطاب كراهية,astd
msa,False,negative,negative,عمال مصر هم عماد الوطن، تكرار الإعتداء على العمال يؤكد ان دولة مبارك لم تسقط وان تغيرت الوجوه,astd
levant,True,negative,negative,"""لبنان جاب جورج كلوني ""صهر""، وسوريا عملت ريكي مارتن ""كنّة""... 😎 https://t.co/Xme6psdqbr""",semeval
msa,False,neutral,positive,"""النبطية الفوقا احتفلت بذكرى المولد النبوي الشريف https://t.co/0LtJ1E6IfY https://t.co/mApFgNUrm5""",semeval
msa,False,neutral,neutral,أضفت فيديو إلى قائمة تشغيل @YouTube على https://t.co/MtfdW72fqR تحميل نسخة ويندوز 10,semeval
levant,False,negative,neutral,"""انتخابات الرئاسة في النمسا: هزيمة مرشح اليمين المتطرف نوربرت هوفر أمام فان دير بيلين https://t.co/fehz9Y3BHM""",semeval
msa,False,negative,negative,9سبتمبر عيد الفلاح الذى ظلمته السلطة واهملته المعارضة نحتاج لاصلاح زراعى جديد و نقابة مستقلة للفلاحين لا تغيير بدون الجماهير وفى قلبها الفلاحين,astd
msa,False,neutral,negative,"""ان  #الإخوان_المسلمين هم حزب الله العرب السني الموالي لولي الفقيه""",semeval
levant,False,neutral,negative,"""@ar_stylish مقارنة بسعرها مافيها شيء مميز ابداً أو غريب غير كذا مو ستايل غوتشي أقرب لمارك جاكوب""",semeval
egypt,True,negative,negative,"""اشرب ياقصير العمر منك له لها وياللي خربتوها ونهايتكم السجن او القتل لان اصلكم مجرمين واللي عملنكم بريطانيا من 85... https://t.co/8krvlB2TUj""",semeval
msa,False,positive,positive,"""RT @s_h_a_h_d: اللهم انصر الاسلام وأعز المسلميناللهم إنك أنت الجبار فاجبر كسرناوأنت المعز فأعزنا بعزكوأنت المنتقم فانتقم لنا ممن عادانا…""",semeval
egypt,True,negative,negative,كنت تأجل وتيجي منك بجميلة وتعمل فيها قعر مجلس وكبير العائلة بس هتقول إيه الغباء السياسي صنعة,astd
